X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,urban
-96.7853720002016,46.8809819998918,238,FAR,"Fargo, North Dakota",Fargo,ND,38,YES
-71.1438229995797,42.517357999962,239,WOB,"Woburn, Massachusetts",Woburn,MA,25,YES
-121.656745000295,36.6791449997173,240,SNS,"Salinas, California",Salinas,CA,06,YES
-86.2873449999684,41.6783599996849,241,SOB,"South Bend, Indiana",South Bend,IN,18,YES
-85.9718479998499,41.6807480001698,242,EKH,"Elkhart, Indiana",Elkhart,IN,18,YES
-89.1361179995585,38.5275310002424,243,CEN,"Centralia, Illinois",Centralia,IL,17,
-89.3636990001494,40.1478550001937,244,LCN,"Lincoln, Illinois",Lincoln,IL,17,
-86.7457819999612,41.7966560000383,245,NBU,"New Buffalo, MI",New Buffalo,MI,26,
-85.0242979998603,41.431816000098,246,WTI,"Waterloo, Indiana",Waterloo,IN,18,
-82.4438050003599,42.9604190002098,247,PTH,"Port Huron, Michigan",Port Huron,MI,26,YES
-87.8654299997123,41.1192589996637,248,KKI,"Kankakee, Illinois",Kankakee,IL,17,YES
-95.3675259996921,29.7672450001916,249,HOS,"Houston, Texas",Houston,TX,48,YES
-120.629266000123,35.1212599999118,250,GVB,"Grover Beach, California",Grover Beach,CA,06,YES
-73.1102770000433,44.4924659999524,251,ESX,"Essex Junction, Vermont",Essex Junction-Burlington,VT,50,YES
-91.6400729998345,44.0444039997535,252,WIN,"Winona, Minnesota",Winona,MN,27,
-117.224891999672,32.9026839997847,253,SRB,"Sorrento Valley, CA",Sorrento Valley,CA,06,YES
-77.2930269999035,38.5218820000266,254,QAN,"Quantico, Virginia",Quantico,VA,51,YES
-80.624927999961,35.4961720001307,255,KAN,"Kannapolis, North Carolina",Kannapolis,NC,37,YES
-122.334738000103,48.4184700002345,256,MVW,"Mount Vernon, Washington",Mount Vernon,WA,53,YES
-86.8959009996163,40.4193469999642,257,LAF,"Lafayette, Indiana",Lafayette,IN,18,YES
-92.286784999566,34.7502979996763,258,LRK,"Little Rock, Arkansas",Little Rock,AR,05,YES
-72.8006780003138,41.5393850002118,259,MDN,"Meriden, Connecticut",Meriden,CT,09,YES
